#SNE_STDPHOT_VER2
#
# Standard-system Photometry of NOT_IMPLEMENTED
#
# Source of calibration: APASS(https://www.aavso.org/apass)
#
# Note: 
#   1. "nan" means this field is unavailable.
#   2. The delimiter of columns is TAB(\t).
#
# Columns:
#   1     JD
#   2     U
#   3     Uerr
#   4     nobs(U)
#   5     B
#   6     Berr
#   7     nobs(B)
#   8     V
#   9     Verr
#   10    nobs(V)
#   11    R
#   12    Rerr
#   13    nobs(R)
#   14    I
#   15    Ierr
#   16    nobs(I)
#
2457937.237973	nan	-nan	0	13.900	0.025	6	13.546	0.014	6	13.399	0.068	6	13.831	0.149	6
2457945.222367	nan	-nan	0	14.352	0.025	6	13.768	0.014	6	13.726	0.068	6	14.164	0.149	6
2457947.206527	nan	-nan	0	14.548	0.026	3	13.888	0.014	3	13.874	0.068	3	14.218	0.149	3
2457950.172701	nan	-nan	0	14.828	0.025	3	14.067	0.014	3	13.992	0.068	3	14.207	0.149	3
2457951.175199	nan	-nan	0	14.957	0.025	3	14.144	0.014	3	14.043	0.068	3	14.218	0.149	3
2457952.177080	nan	-nan	0	15.068	0.026	3	14.205	0.014	3	14.068	0.068	3	14.188	0.149	3
2457953.170229	nan	-nan	0	15.159	0.026	3	14.255	0.014	3	14.091	0.068	3	14.175	0.149	3
2457954.164833	nan	-nan	0	15.247	0.026	3	14.300	0.014	3	14.106	0.068	3	14.146	0.149	3
2457955.171288	nan	-nan	0	15.371	0.025	3	14.374	0.014	3	14.123	0.068	3	14.136	0.149	3
2457956.173250	nan	-nan	0	15.456	0.026	3	14.421	0.014	3	14.146	0.068	3	14.122	0.149	3
2457957.177643	nan	-nan	0	15.572	0.025	3	14.477	0.014	3	14.175	0.068	3	14.120	0.149	3
2457958.160874	nan	-nan	0	15.625	0.027	3	14.510	0.014	3	14.179	0.068	3	14.091	0.149	3
2457959.169167	nan	-nan	0	15.725	0.027	3	14.582	0.016	3	14.210	0.068	3	14.090	0.149	3
2457961.170715	nan	-nan	0	15.895	0.025	3	14.663	0.014	3	14.259	0.068	3	14.073	0.149	3
2457963.183307	nan	-nan	0	16.077	0.025	3	14.786	0.015	3	14.351	0.068	3	14.077	0.149	3
2457964.185988	nan	-nan	0	16.151	0.026	3	14.859	0.017	3	14.376	0.068	3	14.085	0.150	3
2457965.185027	nan	-nan	0	16.209	0.025	3	14.894	0.018	3	14.412	0.069	3	14.084	0.149	3
2457971.162606	nan	-nan	0	16.563	0.028	3	15.268	0.015	3	14.799	0.068	3	14.441	0.149	3
2457973.162934	nan	-nan	0	16.612	0.026	3	15.375	0.014	3	14.913	0.068	3	14.568	0.149	3
